observation_date,CUUR0000SA0L2
2012-08-01,222.251
2012-09-01,223.535
2012-10-01,223.181
2012-11-01,221.572
2012-12-01,220.582
2013-01-01,221.246
2013-02-01,223.629
2013-03-01,224.241
2013-04-01,223.774
2013-05-01,224.105
2013-06-01,224.647
2013-07-01,224.563
2013-08-01,224.732
2013-09-01,224.988
2013-10-01,223.993
2013-11-01,223.088
2013-12-01,222.834
2014-01-01,223.710
2014-02-01,224.665
2014-03-01,226.391
2014-04-01,227.302
2014-05-01,228.124
2014-06-01,228.531
2014-07-01,228.084
2014-08-01,227.302
2014-09-01,227.361
2014-10-01,226.273
2014-11-01,224.294
2014-12-01,222.267
2015-01-01,220.322
2015-02-01,221.432
2015-03-01,223.014
2015-04-01,223.446
2015-05-01,224.911
2015-06-01,225.729
2015-07-01,225.318
2015-08-01,224.632
2015-09-01,223.824
2015-10-01,223.404
2015-11-01,222.526
2015-12-01,221.203
2016-01-01,221.321
2016-02-01,221.229
2016-03-01,222.363
2016-04-01,223.693
2016-05-01,224.625
2016-06-01,225.284
2016-07-01,224.463
2016-08-01,224.451
2016-09-01,224.934
2016-10-01,224.982
2016-11-01,224.244
2016-12-01,224.099
2017-01-01,225.699
2017-02-01,226.424
2017-03-01,226.469
2017-04-01,227.223
2017-05-01,227.205
2017-06-01,227.149
2017-07-01,226.729
2017-08-01,227.274
2017-09-01,228.825
2017-10-01,228.218
2017-11-01,228.096
2017-12-01,227.582
2018-01-01,229.080
2018-02-01,230.358
2018-03-01,230.692
2018-04-01,231.735
2018-05-01,232.727
2018-06-01,233.054
2018-07-01,232.755
2018-08-01,232.615
2018-09-01,232.868
2018-10-01,233.231
2018-11-01,231.856
2018-12-01,230.492
2019-01-01,230.765
2019-02-01,231.792
2019-03-01,233.290
2019-04-01,234.723
2019-05-01,235.131
2019-06-01,234.791
2019-07-01,235.071
2019-08-01,234.853
2019-09-01,234.802
2019-10-01,235.538
2019-11-01,235.162
2019-12-01,234.656
2020-01-01,235.553
2020-02-01,236.084
2020-03-01,235.184
2020-04-01,232.860
2020-05-01,232.598
2020-06-01,234.316
2020-07-01,235.820
2020-08-01,236.785
2020-09-01,237.237
2020-10-01,237.328
2020-11-01,237.052
2020-12-01,237.289
2021-01-01,238.594
2021-02-01,240.288
2021-03-01,242.430
2021-04-01,244.958
2021-05-01,247.484
2021-06-01,250.261
2021-07-01,251.473
2021-08-01,252.072
2021-09-01,252.664
2021-10-01,255.337
2021-11-01,256.714
2021-12-01,257.431
2022-01-01,260.156
2022-02-01,262.949
2022-03-01,267.420
2022-04-01,268.974
2022-05-01,272.550
2022-06-01,277.194
2022-07-01,276.416
2022-08-01,275.409
2022-09-01,275.381
2022-10-01,276.154
2022-11-01,274.960
2022-12-01,272.711
2023-01-01,274.976
2023-02-01,276.174
2023-03-01,276.610
2023-04-01,278.101
2023-05-01,278.336
2023-06-01,279.002
2023-07-01,279.181
2023-08-01,280.663
2023-09-01,280.869
2023-10-01,280.313
2023-11-01,278.876
2023-12-01,277.848
2024-01-01,279.224
2024-02-01,281.119
2024-03-01,283.050
2024-04-01,284.224
2024-05-01,284.261
2024-06-01,284.023
2024-07-01,284.010
2024-08-01,283.681
2024-09-01,284.044
2024-10-01,284.092
2024-11-01,283.459
2024-12-01,283.218
2025-01-01,285.360
2025-02-01,286.756
2025-03-01,287.234
2025-04-01,288.084
2025-05-01,288.519
2025-06-01,289.751
2025-07-01,290.116
2025-08-01,290.784
2025-09-01,291.663
2025-10-01,
2025-11-01,290.721
2025-12-01,290.038
2026-01-01,291.172
2026-02-01,292.826
2026-03-01,296.952
